Ids,Team 1,Team 2,Winner,Margin,Venue,Date,match_no,match_url,Team_1 P1,Team_1 P2,Team_1 P3,Team_1 P4,Team_1 P5,Team_1 P6,Team_1 P7,Team_1 P8,Team_1 P9,Team_1 P10,Team_1 P11,Team_2 P1,Team_2 P2,Team_2 P3,Team_2 P4,Team_2 P5,Team_2 P6,Team_2 P7,Team_2 P8,Team_2 P9,Team_2 P10,Team_2 P11,Captain 1,Captain 2,Toss,Bat_first
51,India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013",ODI # 3363,https://www.espncricinfo.com/India/engine/match/578614.html,RG Sharma,S Dhawan,V Kohli,KD Karthik,MS Dhoni (c) †,SK Raina,RA Jadeja,R Ashwin,B Kumar,I Sharma ,UT Yadav,HM Amla,CA Ingram,RJ Peterson,AB de Villiers (c) †,JP Duminy,F du Plessis,DA Miller,R McLaren,RK Kleinveldt,LL Tsotsobe,M Morkel,MS Dhoni  †,AB de Villiers  †,South Africa,India
52,India,West Indies,India,8 wickets,The Oval,"Jun 11, 2013",ODI # 3368,https://www.espncricinfo.com/India/engine/match/578619.html,CH Gayle,J Charles †,DM Bravo,MN Samuels,RR Sarwan,DJ Bravo (c),KA Pollard,DJG Sammy,SP Narine,R Rampaul,KAJ Roach,RG Sharma,S Dhawan,V Kohli,KD Karthik,SK Raina ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,I Sharma ,B Kumar ,UT Yadav,DJ Bravo ,MS Dhoni  † ,India,West Indies
53,India,Pakistan,India,8 wickets,Birmingham,"Jun 15, 2013",ODI # 3372,https://www.espncricinfo.com/India/engine/match/578623.html,Nasir Jamshed,Kamran Akmal †,Mohammad Hafeez,Asad Shafiq,Misbah-ul-Haq (c),Shoaib Malik,Umar Amin,Wahab Riaz,Saeed Ajmal,Junaid Khan,Mohammad Irfan,RG Sharma,S Dhawan,V Kohli,KD Karthik,SK Raina ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,I Sharma ,B Kumar ,UT Yadav,Misbah-ul-Haq ,MS Dhoni  † ,India,Pakistan
54,India,Sri Lanka,India,8 wickets,Cardiff,"Jun 20, 2013",ODI # 3376,https://www.espncricinfo.com/India/engine/match/566947.html,MDKJ Perera,TM Dilshan,KC Sangakkara †,HDRL Thirimanne,DPMD Jayawardene,AD Mathews (c),BMAJ Mendis,NLTC Perera,KMDN Kulasekara,SL Malinga,HMRKB Herath,RG Sharma,S Dhawan,V Kohli,SK Raina,KD Karthik ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,I Sharma ,B Kumar ,UT Yadav,AD Mathews ,MS Dhoni  † ,India,Sri Lanka
55,England,India,India,5 runs,Birmingham,"Jun 23, 2013",ODI # 3377,https://www.espncricinfo.com/India/engine/match/566948.html,RG Sharma,S Dhawan,V Kohli,KD Karthik,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,I Sharma ,UT Yadav,AN Cook (c),IR Bell,IJL Trott,JE Root,EJG Morgan,RS Bopara,JC Buttler †,TT Bresnan,SCJ Broad,JC Tredwell,JM Anderson,MS Dhoni  †,AN Cook ,England,India
56,West Indies,India,India,102 runs,Port of Spain,"Jul 5, 2013",ODI # 3383,https://www.espncricinfo.com/India/engine/match/597926.html,RG Sharma,S Dhawan,V Kohli (c),SK Raina,KD Karthik †,M Vijay,RA Jadeja,R Ashwin,B Kumar ,I Sharma ,UT Yadav,CH Gayle,J Charles,DM Bravo,MN Samuels,KA Pollard,DJ Bravo (c),D Ramdin †,DJG Sammy,KAJ Roach,SP Narine,TL Best,V Kohli ,DJ Bravo ,West Indies,India
57,India,Sri Lanka,India,81 runs,Port of Spain,"Jul 9, 2013",ODI # 3387,https://www.espncricinfo.com/India/engine/match/597928.html,RG Sharma,S Dhawan,V Kohli (c),KD Karthik †,SK Raina,M Vijay ,RA Jadeja ,R Ashwin ,B Kumar ,I Sharma ,UT Yadav,WU Tharanga,DPMD Jayawardene,KC Sangakkara †,LD Chandimal,HDRL Thirimanne,AD Mathews (c),BMAJ Mendis,LHD Dilhara,HMRKB Herath,RMS Eranga,SL Malinga,V Kohli ,AD Mathews ,Sri Lanka,India
58,India,Sri Lanka,India,1 wicket,Port of Spain,"Jul 11, 2013",ODI # 3388,https://www.espncricinfo.com/India/engine/match/597929.html,WU Tharanga,DPMD Jayawardene,KC Sangakkara †,HDRL Thirimanne,AD Mathews (c),MDKJ Perera,LD Chandimal,HMRKB Herath,RMS Eranga,SL Malinga,RAS Lakmal,RG Sharma,S Dhawan,V Kohli,KD Karthik,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,R Vinay Kumar,I Sharma,AD Mathews ,MS Dhoni  †,India,Sri Lanka
59,Zimbabwe,India,India,6 wickets,Harare,"Jul 24, 2013",ODI # 3395,https://www.espncricinfo.com/India/engine/match/643665.html,V Sibanda,Sikandar Raza,SC Williams,H Masakadza,BRM Taylor (c) †,MN Waller,E Chigumbura,CT Mutombodzi,P Utseya,KM Jarvis ,TL Chatara,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,SK Raina,KD Karthik †,RA Jadeja ,A Mishra ,Mohammed Shami ,R Vinay Kumar ,JD Unadkat,BRM Taylor  †,V Kohli ,India,Zimbabwe
60,Zimbabwe,India,India,58 runs,Harare,"Jul 26, 2013",ODI # 3397,https://www.espncricinfo.com/India/engine/match/643667.html,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,SK Raina,KD Karthik †,RA Jadeja,A Mishra,R Vinay Kumar,Mohammed Shami,JD Unadkat,V Sibanda,Sikandar Raza,H Masakadza,BRM Taylor (c) †,SC Williams,MN Waller,E Chigumbura,P Utseya,KM Jarvis,BV Vitori,TL Chatara,V Kohli ,BRM Taylor  †,Zimbabwe,India
61,Zimbabwe,India,India,7 wickets,Harare,"Jul 28, 2013",ODI # 3399,https://www.espncricinfo.com/India/engine/match/643669.html,V Sibanda,Sikandar Raza,H Masakadza,BRM Taylor (c) †,SC Williams,MN Waller,E Chigumbura,P Utseya,TL Chatara,BV Vitori,MT Chinouya,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,SK Raina,KD Karthik † ,RA Jadeja ,A Mishra ,Mohammed Shami ,R Vinay Kumar ,JD Unadkat,BRM Taylor  †,V Kohli ,India,Zimbabwe
62,Zimbabwe,India,India,9 wickets,Bulawayo,"Aug 1, 2013",ODI # 3402,https://www.espncricinfo.com/India/engine/match/643675.html,V Sibanda,Sikandar Raza,H Masakadza,BRM Taylor (c) †,SC Williams,MN Waller,E Chigumbura,P Utseya,TL Chatara,BV Vitori,MT Chinouya,CA Pujara,RG Sharma,SK Raina,V Kohli (c) ,KD Karthik † ,AT Rayudu ,RA Jadeja ,A Mishra ,Mohammed Shami ,MM Sharma ,JD Unadkat,BRM Taylor  †,V Kohli  ,India,Zimbabwe
63,Zimbabwe,India,India,7 wickets,Bulawayo,"Aug 3, 2013",ODI # 3403,https://www.espncricinfo.com/India/engine/match/643677.html,V Sibanda,H Masakadza,BRM Taylor (c) †,T Maruma,SC Williams,MN Waller,E Chigumbura,CT Mutombodzi,N M'shangwe,KM Jarvis,BV Vitori,CA Pujara,S Dhawan,AM Rahane,RA Jadeja,KD Karthik †,V Kohli (c) ,SK Raina ,A Mishra ,Mohammed Shami ,MM Sharma ,JD Unadkat,BRM Taylor  †,V Kohli  ,India,Zimbabwe
64,India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",ODI # 3420,https://www.espncricinfo.com/India/engine/match/647251.html,AJ Finch,PJ Hughes,SR Watson,GJ Bailey (c),GJ Maxwell,AC Voges,BJ Haddin †,JP Faulkner ,MG Johnson ,CJ McKay ,XJ Doherty,RG Sharma,S Dhawan,V Kohli,SK Raina ,Yuvraj Singh ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,B Kumar ,R Vinay Kumar ,I Sharma,GJ Bailey ,MS Dhoni  † ,Australia,Australia
65,India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013",ODI # 3424,https://www.espncricinfo.com/India/engine/match/647259.html,PJ Hughes,AJ Finch,SR Watson,GJ Bailey (c),GJ Maxwell,AC Voges,MG Johnson,BJ Haddin †,JP Faulkner ,CJ McKay ,XJ Doherty,RG Sharma,S Dhawan,V Kohli,SK Raina,Yuvraj Singh,MS Dhoni (c) †,RA Jadeja ,R Ashwin ,B Kumar ,A Mishra ,Mohammed Shami,GJ Bailey ,MS Dhoni  †,India,Australia
66,India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013",ODI # 3428,https://www.espncricinfo.com/India/engine/match/647261.html,RG Sharma,S Dhawan,V Kohli,SK Raina,Yuvraj Singh,MS Dhoni (c) †,RA Jadeja,R Ashwin ,B Kumar ,R Vinay Kumar ,Mohammed Shami,AJ Finch,PJ Hughes,BJ Haddin †,GJ Bailey (c),AC Voges,GJ Maxwell,JP Faulkner,SR Watson,NM Coulter-Nile,CJ McKay,XJ Doherty,MS Dhoni  †,GJ Bailey ,Australia,India
67,India,West Indies,India,6 wickets,Kochi,"Nov 21, 2013",ODI # 3436,https://www.espncricinfo.com/India/engine/match/676529.html,CH Gayle,J Charles †,MN Samuels,DM Bravo,LMP Simmons,N Deonarine,DJ Bravo (c),DJG Sammy,JO Holder,SP Narine,R Rampaul,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja ,R Ashwin ,B Kumar ,Mohammed Shami ,JD Unadkat,DJ Bravo ,MS Dhoni  †,West Indies,West Indies
68,India,West Indies,India,5 wickets,Kanpur,"Nov 27, 2013",ODI # 3439,https://www.espncricinfo.com/India/engine/match/676533.html,J Charles †,KOA Powell,MN Samuels,DM Bravo,LMP Simmons,DJ Bravo (c),DJG Sammy,SP Narine ,V Permaul ,JO Holder ,R Rampaul,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin ,B Kumar ,Mohammed Shami ,MM Sharma,DJ Bravo ,MS Dhoni  †,India,West Indies
69,Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014",ODI # 3474,https://www.espncricinfo.com/India/engine/match/710293.html,Anamul Haque †,Shamsur Rahman,Mominul Haque,Mushfiqur Rahim (c),Naeem Islam,Nasir Hossain,Ziaur Rahman,Sohag Gazi,Mashrafe Mortaza,Abdur Razzak ,Rubel Hossain,RG Sharma,S Dhawan,V Kohli (c),AM Rahane,AT Rayudu,KD Karthik †,RA Jadeja ,R Ashwin ,B Kumar ,Mohammed Shami ,VR Aaron,Mushfiqur Rahim ,V Kohli ,India,Bangladesh
70,Afghanistan,India,India,8 wickets,Dhaka,"Mar 5, 2014",ODI # 3483,https://www.espncricinfo.com/India/engine/match/710307.html,Noor Ali Zadran,Nawroz Mangal,Rahmat Shah,Asghar Afghan,Najibullah Zadran,Mohammad Nabi (c),Mohammad Shahzad †,Samiullah Shinwari,Mirwais Ashraf,Shapoor Zadran,Dawlat Zadran,AM Rahane,S Dhawan,RG Sharma,KD Karthik †,V Kohli (c) ,AT Rayudu ,RA Jadeja ,R Ashwin ,A Mishra ,B Kumar ,Mohammed Shami,Mohammad Nabi ,V Kohli  ,India,Afghanistan
71,Bangladesh,India,India,7 wickets,Dhaka,"Jun 15, 2014",ODI # 3497,https://www.espncricinfo.com/India/engine/match/744679.html,Tamim Iqbal,Anamul Haque,Mominul Haque,Mushfiqur Rahim (c) †,Shakib Al Hasan,Mahmudullah,Nasir Hossain,Ziaur Rahman,Mashrafe Mortaza,Abdur Razzak,Al-Amin Hossain,RV Uthappa,AM Rahane,CA Pujara,AT Rayudu,SK Raina (c),WP Saha † ,AR Patel ,Parvez Rasool ,A Mishra ,UT Yadav ,MM Sharma,Mushfiqur Rahim  †,SK Raina ,Bangladesh,Bangladesh
72,Bangladesh,India,India,47 runs,Dhaka,"Jun 17, 2014",ODI # 3498,https://www.espncricinfo.com/India/engine/match/744681.html,RV Uthappa,AM Rahane,CA Pujara,AT Rayudu,SK Raina (c),WP Saha †,STR Binny,AR Patel,A Mishra,MM Sharma,UT Yadav,Tamim Iqbal,Anamul Haque,Mohammad Mithun,Mushfiqur Rahim (c) †,Shakib Al Hasan,Mahmudullah,Nasir Hossain,Ziaur Rahman,Mashrafe Mortaza,Taskin Ahmed,Al-Amin Hossain,SK Raina ,Mushfiqur Rahim  †,Bangladesh,India
73,England,India,India,133 runs,Cardiff,"Aug 27, 2014",ODI # 3517,https://www.espncricinfo.com/India/engine/match/667723.html,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar ,Mohammed Shami ,MM Sharma,AN Cook (c),AD Hales,IR Bell,JE Root,EJG Morgan,JC Buttler †,BA Stokes,CR Woakes,CJ Jordan,JC Tredwell,JM Anderson,MS Dhoni  †,AN Cook ,England,India
74,England,India,India,6 wickets,Nottingham,"Aug 30, 2014",ODI # 3520,https://www.espncricinfo.com/India/engine/match/667725.html,AN Cook (c),AD Hales,IR Bell,JE Root,EJG Morgan,JC Buttler †,BA Stokes,CR Woakes,JC Tredwell,ST Finn,JM Anderson,AM Rahane,S Dhawan,V Kohli,AT Rayudu,SK Raina,RA Jadeja,MS Dhoni (c) † ,R Ashwin ,B Kumar ,Mohammed Shami ,MM Sharma,AN Cook ,MS Dhoni  † ,India,England
75,England,India,India,9 wickets,Birmingham,"Sep 2, 2014",ODI # 3523,https://www.espncricinfo.com/India/engine/match/667727.html,AN Cook (c),AD Hales,GS Ballance,JE Root,EJG Morgan,JC Buttler †,MM Ali,CR Woakes,ST Finn,JM Anderson,HF Gurney,AM Rahane,S Dhawan,V Kohli,AT Rayudu ,SK Raina ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,DS Kulkarni ,B Kumar ,Mohammed Shami,AN Cook ,MS Dhoni  † ,India,England
76,India,West Indies,India,48 runs,Delhi,"Oct 11, 2014",ODI # 3533,https://www.espncricinfo.com/India/engine/match/770123.html,AM Rahane,S Dhawan,AT Rayudu,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,B Kumar,Mohammed Shami,A Mishra ,UT Yadav,DR Smith,DM Bravo,KA Pollard,MN Samuels,D Ramdin †,DJ Bravo (c),AD Russell,DJG Sammy,R Rampaul,JE Taylor,SJ Benn,MS Dhoni  †,DJ Bravo ,India,India
77,India,West Indies,India,59 runs,Dharamsala,"Oct 17, 2014",ODI # 3535,https://www.espncricinfo.com/India/engine/match/770127.html,AM Rahane,S Dhawan,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,AT Rayudu,AR Patel ,B Kumar ,Mohammed Shami ,UT Yadav,DR Smith,DM Bravo,KA Pollard,MN Samuels,D Ramdin †,DJ Bravo (c),DJG Sammy,AD Russell,JO Holder,JE Taylor,SJ Benn,MS Dhoni  †,DJ Bravo ,West Indies,India
78,India,Sri Lanka,India,169 runs,Cuttack,"Nov 2, 2014",ODI # 3539,https://www.espncricinfo.com/India/engine/match/792289.html,AM Rahane,S Dhawan,SK Raina,V Kohli (c),AT Rayudu,WP Saha †,AR Patel,R Ashwin ,UT Yadav ,VR Aaron ,I Sharma,WU Tharanga,TM Dilshan,KC Sangakkara †,DPMD Jayawardene,S Prasanna,AD Mathews (c),SMA Priyanjan,NLTC Perera,S Randiv,KTGD Prasad,PLS Gamage,V Kohli ,AD Mathews ,Sri Lanka,India
79,India,Sri Lanka,India,6 wickets,Ahmedabad,"Nov 6, 2014",ODI # 3540,https://www.espncricinfo.com/India/engine/match/792291.html,MDKJ Perera,TM Dilshan,KC Sangakkara †,DPMD Jayawardene,AD Mathews (c),S Prasanna,SMA Priyanjan,NLTC Perera,S Randiv,KTGD Prasad,PLS Gamage,AM Rahane,S Dhawan,AT Rayudu,V Kohli (c),SK Raina,RA Jadeja,WP Saha † ,R Ashwin ,AR Patel ,UT Yadav ,I Sharma,AD Mathews ,V Kohli ,Sri Lanka,Sri Lanka
80,India,Sri Lanka,India,6 wickets,Hyderabad (Deccan),"Nov 9, 2014",ODI # 3543,https://www.espncricinfo.com/India/engine/match/792293.html,MDKJ Perera,TM Dilshan,KC Sangakkara †,DPMD Jayawardene,AD Mathews (c),SMA Priyanjan,PC de Silva,NLTC Perera,S Prasanna,KMDN Kulasekara,PLS Gamage,AM Rahane,S Dhawan,AT Rayudu,V Kohli (c),SK Raina,WP Saha †,R Ashwin ,UT Yadav ,DS Kulkarni ,I Sharma ,AR Patel,AD Mathews ,V Kohli ,Sri Lanka,Sri Lanka
81,India,Sri Lanka,India,153 runs,Kolkata,"Nov 13, 2014",ODI # 3544,https://www.espncricinfo.com/India/engine/match/792295.html,AM Rahane,RG Sharma,AT Rayudu,V Kohli (c),SK Raina,RV Uthappa †,STR Binny ,AR Patel ,KV Sharma ,UT Yadav ,DS Kulkarni,MDKJ Perera,TM Dilshan,LD Chandimal †,DPMD Jayawardene,AD Mathews (c),HDRL Thirimanne,NLTC Perera,S Prasanna,KMDN Kulasekara,BAW Mendis,RMS Eranga,V Kohli ,AD Mathews ,India,India
82,India,Sri Lanka,India,3 wickets,Ranchi,"Nov 16, 2014",ODI # 3547,https://www.espncricinfo.com/India/engine/match/792297.html,N Dickwella,TM Dilshan,LD Chandimal †,DPMD Jayawardene,AD Mathews (c),HDRL Thirimanne,NLTC Perera,S Prasanna,BAW Mendis,RMS Eranga ,PLS Gamage,AM Rahane,RG Sharma,AT Rayudu,V Kohli (c),RV Uthappa †,KM Jadhav,STR Binny,R Ashwin,AR Patel,KV Sharma ,DS Kulkarni,AD Mathews ,V Kohli ,Sri Lanka,Sri Lanka
83,India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602,https://www.espncricinfo.com/India/engine/match/656405.html,RG Sharma,S Dhawan,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,AM Rahane,R Ashwin,Mohammed Shami,UT Yadav ,MM Sharma,Ahmed Shehzad,Younis Khan,Haris Sohail,Misbah-ul-Haq (c),Sohaib Maqsood,Umar Akmal †,Shahid Afridi,Wahab Riaz,Yasir Shah,Sohail Khan,Mohammad Irfan,MS Dhoni  †,Misbah-ul-Haq ,India,India
84,India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610,https://www.espncricinfo.com/India/engine/match/656423.html,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,Mohammed Shami,UT Yadav ,MM Sharma,HM Amla,Q de Kock †,F du Plessis,AB de Villiers (c),DA Miller,JP Duminy,WD Parnell,VD Philander,DW Steyn,M Morkel,Imran Tahir,MS Dhoni  †,AB de Villiers ,India,India
85,India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",ODI # 3618,https://www.espncricinfo.com/India/engine/match/656439.html,Amjad Ali,AR Berenger,Krishna Chandran,Khurram Khan,SP Patil †,Shaiman Anwar,Rohan Mustafa,Amjad Javed,Mohammad Naveed,Mohammad Tauqir (c),AM Guruge,RG Sharma,S Dhawan,V Kohli,AM Rahane ,SK Raina ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,B Kumar ,UT Yadav ,MM Sharma,Mohammad Tauqir ,MS Dhoni  † ,United,United Arab Emirates
86,India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",ODI # 3625,https://www.espncricinfo.com/India/engine/match/656453.html,DR Smith,CH Gayle,MN Samuels,JL Carter,D Ramdin †,LMP Simmons,DJG Sammy,AD Russell,JO Holder (c),JE Taylor,KAJ Roach,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,MM Sharma ,Mohammed Shami ,UT Yadav,JO Holder ,MS Dhoni  †,West Indies,West Indies
87,India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",ODI # 3631,https://www.espncricinfo.com/India/engine/match/656465.html,WTS Porterfield (c),PR Stirling,EC Joyce,NJ O'Brien,A Balbirnie,KJ O'Brien,GC Wilson †,SR Thompson,JF Mooney,GH Dockrell,AR Cusack,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina ,MS Dhoni (c) † ,RA Jadeja ,R Ashwin ,Mohammed Shami ,MM Sharma ,UT Yadav,WTS Porterfield ,MS Dhoni  † ,Ireland,Ireland
88,India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",ODI # 3636,https://www.espncricinfo.com/India/engine/match/656475.html,CJ Chibhabha,H Masakadza,SF Mire,BRM Taylor (c) †,SC Williams,CR Ervine,Sikandar Raza,RW Chakabva,T Panyangara,T Mupariwa,TL Chatara,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja ,R Ashwin ,MM Sharma ,Mohammed Shami ,UT Yadav,BRM Taylor  †,MS Dhoni  †,India,Zimbabwe
89,Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",ODI # 3641,https://www.espncricinfo.com/India/engine/match/656485.html,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,Mohammed Shami ,MM Sharma ,UT Yadav,Tamim Iqbal,Imrul Kayes,Soumya Sarkar,Mahmudullah,Shakib Al Hasan,Mushfiqur Rahim †,Sabbir Rahman,Nasir Hossain,Mashrafe Mortaza (c),Rubel Hossain,Taskin Ahmed,MS Dhoni  †,Mashrafe Mortaza ,India,India
90,Bangladesh,India,India,77 runs,Dhaka,"Jun 24, 2015",ODI # 3661,https://www.espncricinfo.com/India/engine/match/870735.html,RG Sharma,S Dhawan,V Kohli,MS Dhoni (c) †,AT Rayudu,SK Raina,STR Binny,AR Patel,R Ashwin ,DS Kulkarni ,UT Yadav,Tamim Iqbal,Soumya Sarkar,Liton Das †,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Nasir Hossain,Mashrafe Mortaza (c),Arafat Sunny,Rubel Hossain,Mustafizur Rahman,MS Dhoni  †,Mashrafe Mortaza ,Bangladesh,India
91,Zimbabwe,India,India,4 runs,Harare,"Jul 10, 2015",ODI # 3662,https://www.espncricinfo.com/India/engine/match/885959.html,AM Rahane (c),M Vijay,AT Rayudu,MK Tiwary,RV Uthappa †,KM Jadhav,STR Binny,AR Patel,Harbhajan Singh ,B Kumar ,DS Kulkarni,V Sibanda,CJ Chibhabha,H Masakadza,E Chigumbura (c),SC Williams,Sikandar Raza,R Mutumbami †,AG Cremer,DT Tiripano,BV Vitori ,T Panyangara,AM Rahane ,E Chigumbura ,Zimbabwe,India
92,Zimbabwe,India,India,62 runs,Harare,"Jul 12, 2015",ODI # 3665,https://www.espncricinfo.com/India/engine/match/885965.html,AM Rahane (c),M Vijay,AT Rayudu,MK Tiwary,RV Uthappa †,STR Binny,KM Jadhav,Harbhajan Singh,AR Patel,B Kumar,DS Kulkarni,V Sibanda,CJ Chibhabha,H Masakadza,E Chigumbura (c),SC Williams,Sikandar Raza,R Mutumbami †,AG Cremer,N Madziva,DT Tiripano,BV Vitori,AM Rahane ,E Chigumbura ,Zimbabwe,India
93,Zimbabwe,India,India,83 runs,Harare,"Jul 14, 2015",ODI # 3667,https://www.espncricinfo.com/India/engine/match/885967.html,AM Rahane (c),M Vijay,RV Uthappa †,MK Tiwary,MK Pandey,KM Jadhav,STR Binny,Harbhajan Singh ,AR Patel ,B Kumar ,MM Sharma,H Masakadza,CJ Chibhabha,RW Chakabva,E Chigumbura (c),R Mutumbami †,Sikandar Raza,MN Waller,AG Cremer,P Utseya,DT Tiripano,N Madziva,AM Rahane ,E Chigumbura ,Zimbabwe,India
94,India,South Africa,India,22 runs,Indore,"Oct 14, 2015",ODI # 3692,https://www.espncricinfo.com/India/engine/match/903595.html,RG Sharma,S Dhawan,AM Rahane,V Kohli,MS Dhoni (c) †,SK Raina,AR Patel,B Kumar,Harbhajan Singh,UT Yadav,MM Sharma,HM Amla,Q de Kock †,F du Plessis,JP Duminy,AB de Villiers (c),DA Miller,F Behardien,DW Steyn,K Rabada,Imran Tahir,M Morkel,MS Dhoni  †,AB de Villiers ,India,India
95,India,South Africa,India,35 runs,Chennai,"Oct 22, 2015",ODI # 3698,https://www.espncricinfo.com/India/engine/match/903599.html,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,Harbhajan Singh,AR Patel,B Kumar,MM Sharma ,A Mishra,Q de Kock †,HM Amla,F du Plessis,AB de Villiers (c),DA Miller,F Behardien,CH Morris,AM Phangiso,DW Steyn,K Rabada,Imran Tahir,MS Dhoni  †,AB de Villiers ,India,India
96,Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",ODI # 3727,https://www.espncricinfo.com/India/engine/match/895815.html,AJ Finch,DA Warner,SPD Smith (c),GJ Bailey,SE Marsh,MR Marsh,MS Wade †,JP Faulkner,JW Hastings,SM Boland ,NM Lyon,RG Sharma,S Dhawan,V Kohli,MK Pandey,MS Dhoni (c) †,Gurkeerat Singh,RA Jadeja ,R Dhawan ,JJ Bumrah ,UT Yadav ,I Sharma,SPD Smith ,MS Dhoni  †,India,Australia
97,Zimbabwe,India,India,9 wickets,Harare,"Jun 11, 2016",ODI # 3742,https://www.espncricinfo.com/India/engine/match/1007649.html,PJ Moor,CJ Chibhabha,H Masakadza,CR Ervine,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami †,AG Cremer (c),TL Chatara,T Muzarabani,KL Rahul,KK Nair,AT Rayudu,MK Pandey ,KM Jadhav ,MS Dhoni (c) † ,AR Patel ,DS Kulkarni ,JJ Bumrah ,BB Sran ,YS Chahal,AG Cremer ,MS Dhoni  † ,India,Zimbabwe
98,Zimbabwe,India,India,8 wickets,Harare,"Jun 13, 2016",ODI # 3744,https://www.espncricinfo.com/India/engine/match/1007651.html,H Masakadza,CJ Chibhabha,PJ Moor,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami †,AG Cremer (c),TL Chatara,T Muzarabani,SC Williams,KL Rahul,KK Nair,AT Rayudu,MK Pandey,KM Jadhav ,MS Dhoni (c) † ,AR Patel ,DS Kulkarni ,JJ Bumrah ,BB Sran ,YS Chahal,AG Cremer ,MS Dhoni  † ,India,Zimbabwe
99,Zimbabwe,India,India,10 wickets,Harare,"Jun 15, 2016",ODI # 3746,https://www.espncricinfo.com/India/engine/match/1007653.html,H Masakadza,CJ Chibhabha,V Sibanda,T Maruma,MN Waller,E Chigumbura,R Mutumbami †,AG Cremer (c),N Madziva,T Mupariwa,DT Tiripano,KL Rahul,FY Fazal,MK Pandey ,AT Rayudu ,KM Jadhav ,MS Dhoni (c) † ,AR Patel ,DS Kulkarni ,JJ Bumrah ,BB Sran ,YS Chahal,AG Cremer ,MS Dhoni  † ,Zimbabwe,Zimbabwe
100,India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016",ODI # 3796,https://www.espncricinfo.com/India/engine/match/1030219.html,MJ Guptill,TWM Latham,KS Williamson (c),LRPL Taylor,CJ Anderson,L Ronchi †,JDS Neesham,MJ Santner,DAJ Bracewell,TG Southee,IS Sodhi,RG Sharma,AM Rahane,V Kohli,MK Pandey,MS Dhoni (c) †,KM Jadhav,HH Pandya ,AR Patel ,A Mishra ,JJ Bumrah ,UT Yadav,KS Williamson ,MS Dhoni  †,India,New Zealand
